,underlyingClose,gex_call,gex_put,Total
0,419,14423887305.301163,-12954020597.440233,1469866707.8609295
1,420,14492818568.219166,-13015927417.754839,1476891150.4643269
2,421,14561914148.80801,-13077981810.942661,1483932337.8653488
3,422,14631174047.067698,-13140183777.0037,1490990270.0639973
4,423,14700598262.998226,-13202533315.937956,1498064947.0602703
5,424,14770186796.599596,-13265030427.745432,1505156368.8541641
6,425,14839939647.871807,-13327675112.42612,1512264535.4456863
7,426,14909856816.81486,-13390467369.980028,1519389446.8348312
8,427,14979938303.428753,-13453407200.407154,1526531103.0215988
9,428,15050184107.71349,-13516494603.707497,1533689504.005993
10,429,15120594229.669067,-13579729579.881056,1540864649.7880116
11,430,15191168669.295485,-13643112128.927834,1548056540.367651
12,431,15261907426.592747,-13706642250.847826,1555265175.7449207
13,432,15332810501.560846,-13770319945.641039,1562490555.9198074
14,433,15403877894.199791,-13834145213.307465,1569732680.8923264
15,434,15475109604.509575,-13898118053.84711,1576991550.6624641
16,435,15546505632.490202,-13962238467.259974,1584267165.2302284
17,436,15618065978.141668,-14026506453.546053,1591559524.5956154
18,437,15689790641.463978,-14090922012.70535,1598868628.758627
19,438,15761679622.457129,-14155485144.737865,1606194477.719263
20,439,15833732921.12112,-14220195849.643595,1613537071.4775257
21,440,15905950537.455956,-14285054127.422544,1620896410.033411
22,441,15978332471.46163,-14350059978.07471,1628272493.386919
23,442,16050878723.138147,-14415213401.600092,1635665321.5380554
24,443,16123589292.485504,-14480514397.998693,1643074894.4868107
25,444,16196464179.503704,-14545962967.27051,1650501212.2331944
26,445,16269503384.192745,-14611559109.415545,1657944274.7772007
27,446,16342706906.552628,-14677302824.433796,1665404082.1188316
28,447,16416074746.583351,-14743194112.325264,1672880634.2580872
29,448,16489606904.284916,-14809232973.089949,1680373931.1949673
30,449,16563303379.657324,-14875419406.727852,1687883972.929472
31,450,16637164172.700573,-14941753413.238974,1695410759.4615993
32,451,16711189283.414661,-15008234992.62331,1702954290.7913513
33,452,16785378711.799593,-15074864144.880865,1710514566.9187279
34,453,16859732457.855368,-15141640870.011637,1718091587.843731
35,454,16934250521.581982,-15208565168.015627,1725685353.5663548
36,455,17008932902.979437,-15275637038.892832,1733295864.086605
37,456,17083779602.047735,-15342856482.643255,1740923119.40448
38,457,17158790618.786873,-15410223499.266895,1748567119.5199776
39,458,17233965953.196854,-15477738088.763754,1756227864.4330997
40,459,17309305605.277676,-15545400251.133827,1763905354.1438484
41,460,17384809575.02934,-15613209986.377121,1771599588.6522179
42,461,17460477862.451843,-15681167294.493628,1779310567.9582157
43,462,17536310467.54519,-15749272175.483355,1787038292.0618343
44,463,17612307390.309376,-15817524629.346298,1794782760.9630775
45,464,17688468630.744408,-15885924656.082458,1802543974.6619492
46,465,17764794188.850277,-15954472255.691835,1810321933.1584415
47,466,17841284064.62699,-16023167428.174433,1818116636.4525585
48,467,17917938258.074543,-16092010173.530245,1825928084.5442982
49,468,17994756769.19294,-16161000491.759274,1833756277.4336662
50,469,18071739597.982178,-16230138382.86152,1841601215.120657
51,470,18148886744.442253,-16299423846.836983,1849462897.6052704
52,471,18226198208.573174,-16368856883.685665,1857341324.8875084
53,472,18303673990.374935,-16438437493.407562,1865236496.967373
54,473,18381314089.847538,-16508165676.002678,1873148413.84486
55,474,18459118506.990982,-16578041431.47101,1881077075.5199718
56,475,18537087241.805267,-16648064759.81256,1889022481.9927082
57,476,18615220294.290394,-16718235661.027327,1896984633.2630672
58,477,18693517664.44636,-16788554135.11531,1904963529.3310509
59,478,18771979352.273174,-16859020182.076511,1912959170.196663
60,479,18850605357.770824,-16929633801.91093,1920971555.8598938
61,480,18929395680.939316,-17000394994.618565,1929000686.3207512
62,481,19008350321.778652,-17071303760.199417,1937046561.579235
63,482,19087469280.28883,-17142360098.653488,1945109181.6353416
64,483,19166752556.469845,-17213564009.980774,1953188546.489071
65,484,19246200150.321705,-17284915494.18128,1961284656.1404266
66,485,19325812061.844406,-17356414551.255,1969397510.589405
67,486,19405588291.03795,-17428061181.20194,1977527109.83601
68,487,19485528837.902332,-17499855384.022095,1985673453.8802376
69,488,19565633702.437557,-17571797159.715466,1993836542.7220917
70,489,19645902884.643623,-17643886508.282055,2002016376.3615685
71,490,19726336384.52053,-17716123429.721863,2010212954.798668
72,491,19806934202.06828,-17788507924.03489,2018426278.03339
73,492,19887696337.28687,-17861039991.22113,2026656346.0657387
74,493,19968622790.176304,-17933719631.28059,2034903158.8957138
75,494,20049713560.736576,-18006546844.213264,2043166716.5233116
76,495,20130968648.967693,-18079521630.019157,2051447018.948536
77,496,20212388054.869648,-18152643988.69827,2059744066.171379
78,497,20293971778.442448,-18225913920.250595,2068057858.1918526
79,498,20375719819.68609,-18299331424.67614,2076388395.0099487
80,499,20457632178.600567,-18372896501.974903,2084735676.6256638
81,500,20539708855.18589,-18446609152.14688,2093099703.039009
82,501,20621949849.442055,-18520469375.192078,2101480474.249977
83,502,20704355161.36906,-18594477171.11049,2109877990.2585716
84,503,20786924790.966908,-18668632539.902122,2118292251.064785
85,504,20869658738.2356,-18742935481.566967,2126723256.6686325
86,505,20952557003.17513,-18817385996.105034,2135171007.070095
87,506,21035619585.7855,-18891984083.516315,2143635502.269184
88,507,21118846486.06671,-18966729743.80081,2152116742.2658997
89,508,21202237704.01877,-19041622976.95853,2160614727.060238
90,509,21285793239.641663,-19116663782.989464,2169129456.652199
91,510,21369513092.935402,-19191852161.893616,2177660931.041786
92,511,21453397263.899982,-19267188113.670982,2186209150.229
93,512,21537445752.5354,-19342671638.321568,2194774114.213833
94,513,21621658558.841663,-19418302735.84537,2203355822.996292
95,514,21706035682.818768,-19494081406.24239,2211954276.576378
96,515,21790577124.466713,-19570007649.512627,2220569474.9540863
97,516,21875282883.7855,-19646081465.65608,2229201418.129421
98,517,21960152960.775127,-19722302854.67275,2237850106.102379
99,518,22045187355.435596,-19798671816.562637,2246515538.872959
100,519,22130386067.766907,-19875188351.325745,2255197716.441162
